poids(preliminary,1) = 3.204662511748219
poids(lexicographic,2443) = 3.8067225030761813
poids(order,2443) = 2.3851185762063505
poids(algorithm,2443) = 1.4286881806188498
poids(r323,2443) = 4.5056925074122
poids(finding,2444) = 2.798122331314264
poids(cliques,2444) = 4.0285712526925375
poids(undirected,2444) = 3.660594467397943
poids(graph,2444) = 2.8429346757306257
poids(algorithm,2444) = 1.4286881806188498
poids(a457,2444) = 4.5056925074122
poids(routing,2445) = 3.5514499979728753
poids(problem,2445) = 2.0403096559637817
poids(algorithm,2445) = 1.4286881806188498
poids(a456,2445) = 4.5056925074122
poids(analysis,2446) = 2.204662511748219
poids(skew,2446) = 4.5056925074122
poids(representations,2446) = 3.275243586033926
poids(symmetric,2446) = 3.0285712526925375
poids(group,2446) = 3.0585344760699806
poids(algorithm,2446) = 1.4286881806188498
poids(a455,2446) = 4.5056925074122
poids(sard,2447) = 4.5056925074122
poids(kernels,2447) = 4.0285712526925375
poids(certain,2447) = 1.679782235866981
poids(bivariate,2447) = 3.8067225030761813
poids(cubatures,2447) = 4.5056925074122
poids(error,2447) = 1.7243938280378637
poids(analysis,2447) = 1.6023312558741094
poids(given,2447) = 1.950598058833881
poids(remainders,2447) = 2.7528462537061
poids(obtained,2447) = 1.7781512503836436
poids(use,2447) = 1.4808122315309622
poids(numerical,2447) = 1.746427641353514
poids(results,2447) = 1.5856193781306347
poids(computer,2447) = 1.3648590881414155
poids(graphs,2447) = 2.0538762493700813
poids(kernel,2447) = 2.4033612515380907
poids(functions,2447) = 1.6677153960086213
poids(reversible,2448) = 4.0285712526925375
poids(execution,2448) = 2.642369647291744
poids(simple,2449) = 2.3070354204577774
poids(technique,2449) = 2.226938906459371
poids(structured,2449) = 2.299593337763275
poids(variable,2449) = 1.568783985986206
poids(lookup,2449) = 2.9357550107228247
poids(symbol,2449) = 1.6538748210206413
poids(table,2449) = 1.562049523956777
poids(variables,2449) = 1.5237313520562108
poids(based,2449) = 1.4136248948008878
poids(automata,2449) = 1.8675341734734188
poids(theory,2449) = 1.6111982164921608
poids(presented,2449) = 1.3082558439121934
poids(offers,2449) = 1.850483332657625
poids(deterministic,2449) = 1.8352308358040665
poids(solution,2449) = 1.428528139790715
poids(problem,2449) = 1.3467698853212606
poids(currently,2449) = 1.734887503916073
poids(handled,2449) = 1.7865214905779871
poids(nondeterministic,2449) = 1.8675341734734188
poids(manner,2449) = 1.6668475096974313
poids(pl,2449) = 1.7423129688197903
poids(cobol,2449) = 1.6580711967899817
poids(compilers,2449) = 1.6538748210206413
poids(empirical,2450) = 1.6538748210206413
poids(working,2450) = 2.92590891079539
poids(set,2450) = 2.1692327735636705
poids(behavior,2450) = 2.2690883440561582
poids(model,2450) = 1.4695941648013813
poids(program,2450) = 1.6180355316294184
poids(proposed,2450) = 1.4511347210097145
poids(recent,2450) = 1.6497966688816375
poids(years,2450) = 1.6240746839442044
poids(basis,2450) = 1.5832725505799028
poids(design,2450) = 1.4267944085621123
poids(scheduling,2450) = 1.602240834358727
poids(paging,2450) = 1.6538748210206413
poids(algorithms,2450) = 1.4112836336252337
poids(although,2450) = 1.5884432726393187
poids(words,2450) = 1.6207466103086707
poids(commonly,2450) = 1.7423129688197903
poids(encountered,2450) = 1.7501400007696313
poids(literature,2450) = 1.7084937552335313
poids(dealing,2450) = 1.8352308358040665
poids(resource,2450) = 1.6810981698377478
poids(allocation,2450) = 1.5454869292270745
poids(dearth,2450) = 2.1685641691374
poids(published,2450) = 1.6714436045259757
poids(data,2450) = 1.3136754810533702
poids(measurements,2450) = 1.767190841585425
poids(hope,2450) = 2.068220837249406
poids(workers,2450) = 1.9355741676920604
poids(field,2450) = 1.6143115585768752
poids(might,2450) = 1.767190841585425
poids(find,2450) = 1.6538748210206413
poids(experimental,2450) = 1.5832725505799028
poids(evidence,2450) = 1.7423129688197903
poids(upon,2450) = 1.596563054592467
poids(substantiate,2450) = 2.1685641691374
poids(base,2450) = 1.6458302611150684
poids(theoretical,2450) = 1.6623928558447707
poids(work,2450) = 1.5397339274132393
poids(design,2451) = 1.8535888171242247
poids(tree,2451) = 2.6483600109809315
poids(structures,2451) = 1.2460514549544983
poids(efficient,2451) = 1.2297646181745654
poids(querying,2451) = 1.5842820845687
poids(standard,2451) = 1.2377518768940958
poids(information,2451) = 1.1900340870868833
poids(retrieval,2451) = 1.2708131525219013
poids(operation,2451) = 1.2757390264488542
poids(determine,2451) = 1.3120373419721023
poids(records,2451) = 1.3311964279223854
poids(data,2451) = 1.4705132215800554
poids(collection,2451) = 1.3209848184658983
poids(satisfy,2451) = 1.3882668747260865
poids(given,2451) = 1.1584330098056468
poids(query,2451) = 1.3639122021130468
poids(expressed,2451) = 1.335721802262988
poids(terms,2451) = 1.2516762188024417
poids(values,2451) = 1.2727434646135372
poids(process,2451) = 1.2347970824006906
poids(locating,2451) = 1.4337670867367094
poids(desired,2451) = 1.3512920831233604
poids(responses,2451) = 1.4434324112329904
poids(represented,2451) = 1.3209848184658983
poids(search,2451) = 2.0794678548264787
poids(model,2451) = 1.4695941648013813
poids(paper,2451) = 1.2890677501525207
poids(poses,2451) = 1.534110418624703
poids(optimization,2451) = 1.3120373419721023
poids(problem,2451) = 1.3467698853212606
poids(trees,2451) = 1.3191046500642836
poids(serve,2451) = 1.3711564844098951
poids(well,2451) = 1.2377518768940958
poids(specified,2451) = 1.3040752116727687
poids(application,2451) = 1.471929131990934
poids(academic,2451) = 1.4252416663288126
poids(sense,2451) = 1.3430890793449968
poids(ordinarily,2451) = 1.5842820845687
poids(optimal,2451) = 1.2727434646135372
poids(cannot,2451) = 1.3573274452324344
poids(implemented,2451) = 1.2635688702250532
poids(means,2451) = 1.2585749996621458
poids(practical,2451) = 1.5598725682371244
poids(techniques,2451) = 1.206812447400444
poids(hand,2451) = 1.3542468776167658
poids(potentially,2451) = 1.4545902095047594
poids(useful,2451) = 1.2778072361124908
poids(comparison,2451) = 1.2891400826283426
poids(affords,2451) = 1.5842820845687
poids(observed,2451) = 1.4107166370423292
poids(performance,2451) = 1.2524110719532842
poids(intuitively,2451) = 1.534110418624703
poids(attractive,2451) = 1.4337670867367094
poids(ideal,2451) = 1.8675341734734188
poids(procedure,2451) = 1.2240540841962042
poids(considers,2451) = 1.4107166370423292
poids(novel,2451) = 1.4252416663288126
poids(scheme,2451) = 1.2708131525219013
poids(based,2451) = 1.206812447400444
poids(bit,2451) = 1.6274810723381
poids(vector,2451) = 1.7584145286779753
poids(representation,2451) = 1.2689329841202865
poids(shows,2451) = 1.335721802262988
poids(essentially,2451) = 1.3750700003848157
poids(algorithm,2451) = 1.0714480301031417
poids(used,2451) = 1.1638747123176467
poids(either,2451) = 1.3011204171793636
poids(experimental,2451) = 1.2916362752899513
poids(study,2451) = 1.2635688702250532
poids(small,2451) = 1.2602016392103386
poids(formatted,2451) = 1.4839387526807062
poids(file,2451) = 1.253903545728772
poids(illustrates,2451) = 1.4252416663288126
poids(concepts,2451) = 1.299687055219044
poids(evaluation,2452) = 1.6325652885401274
poids(selection,2452) = 1.3829255800771403
poids(file,2452) = 2.5234212743726316
poids(organization,2452) = 1.6744594287481327
poids(model,2452) = 1.5635129977616575
poids(system,2452) = 1.4809251943434405
poids(work,2452) = 1.3238403564479437
poids(first,2452) = 1.2750717477834388
poids(discusses,2452) = 1.3807265032168474
poids(factors,2452) = 1.3898780013289826
poids(affect,2452) = 1.5321188934795886
poids(data,2452) = 1.5646158658960663
poids(base,2452) = 2.1624944700071227
poids(performance,2452) = 1.302893286343941
poids(elusive,2452) = 1.70113850148244
poids(subject,2452) = 1.3785817301384928
poids(presents,2452) = 1.3284739294583487
poids(methodology,2452) = 1.4326539653179988
poids(programmed,2452) = 1.4001085058184588
poids(estimate,2452) = 1.4287929342789214
poids(primarily,2452) = 1.4453877812918743
poids(total,2452) = 1.3704959987273713
poids(storage,2452) = 1.2379444323910564
poids(costs,2452) = 1.4148657486506426
poids(average,2452) = 1.3724479661852025
poids(access,2452) = 1.3412703915917237
poids(time,2452) = 1.1844987466887154
poids(several,2452) = 1.2587009806016485
poids(organizations,2452) = 1.4409325023496438
poids(given,2452) = 1.1901196117667763
poids(specific,2452) = 1.7371738702922506
poids(query,2452) = 1.4366946425356562
poids(characterization,2452) = 1.640932502349644
poids(device,2452) = 1.4001085058184588
poids(related,2452) = 1.3744448103665228
poids(specifications,2452) = 1.4181438318882764
poids(based,2452) = 1.2481749368805328
poids(estimates,2452) = 1.4287929342789214
poids(appropriate,2452) = 1.3898780013289826
poids(structure,2452) = 1.5152834252793177
poids(may,2452) = 1.2418054634301339
poids(selected,2452) = 1.4409325023496438
poids(situation,2452) = 1.460314504951255
poids(convenient,2452) = 1.4783498310210725
poids(tool,2452) = 1.4550487172067852
poids(study,2452) = 1.3162826442700637
poids(structures,2452) = 1.2952617459453981
poids(facilitate,2452) = 1.4453877812918743
poids(much,2452) = 1.3469680991540112
poids(possible,2452) = 1.2838665353474905
poids(process,2452) = 1.2817564988808288
poids(design,2452) = 1.2560766451372674
poids(information,2453) = 1.5701022612606503
poids(theory,2453) = 1.9167973247382413
poids(applied,2453) = 1.37642312685305
poids(conversion,2453) = 1.907748213691843
poids(decision,2453) = 2.781416637811411
poids(tables,2453) = 1.856650408956973
poids(computer,2453) = 1.3648590881414155
poids(programs,2453) = 1.273098185832737
poids(using,2453) = 1.2661958563367457
poids(ideas,2453) = 1.5226797898603455
poids(paper,2453) = 1.2168008126143905
poids(develops,2453) = 1.637862499493219
poids(heuristic,2453) = 2.0627406328502973
poids(algorithm,2453) = 1.4286881806188498
poids(converts,2453) = 1.7259081290210594
poids(limited,2453) = 1.8948445818887003
poids(entry,2453) = 1.9871067951849724
poids(table,2453) = 1.8430742859351656
poids(tree,2453) = 1.412090002745233
poids(structured,2453) = 1.4873475016612283
poids(program,2453) = 1.231763324361032
poids(near,2453) = 1.5567347266148428
poids(minimum,2453) = 1.4474222909443502
poids(average,2453) = 1.4655599577315033
poids(processing,2453) = 1.2995491173747467
poids(time,2453) = 1.4612468667217886
poids(method,2453) = 1.2286569750964251
poids(applicable,2453) = 1.4561128175091533
poids(require,2453) = 1.4655599577315033
poids(actions,2453) = 1.5458683031695704
poids(single,2453) = 1.410592411822936
poids(rules,2453) = 1.4199044261778435
poids(cost,2453) = 1.3979696637571208
poids(testing,2453) = 1.4935533975924862
poids(conditions,2453) = 1.4136085396732812
poids(equal,2453) = 1.5511656279370547
poids(thus,2453) = 1.899061165657132
poids(general,2453) = 1.2869394151029365
poids(previously,2453) = 1.5146336190174952
poids(published,2453) = 1.503582703394482
poids(algorithms,2453) = 1.3084627252189254
poids(compared,2453) = 1.407657811005125
poids(optimal,2453) = 1.409115196920306
poids(reinwald,2453) = 1.87642312685305
poids(soland,2453) = 1.87642312685305
poids(easy,2453) = 1.4732271626731162
poids(code,2453) = 1.3831411634531254
poids(takes,2453) = 1.5753931311890688
poids(much,2453) = 1.433710123942514
poids(smaller,2453) = 1.5979372887763408
poids(translation,2453) = 1.490406115765481
poids(felt,2453) = 1.681885314257139
poids(useful,2453) = 1.416710854168736
poids(practice,2453) = 1.616074955563494
poids(well,2453) = 1.3566278153411437
poids(suited,2453) = 1.5626050005772236
poids(manual,2453) = 1.606627815341144
poids(flowcharts,2453) = 1.5824003120891297
poids(computational,2454) = 2.824451270036613
poids(algorithms,2454) = 2.233850900875701
poids(closed,2454) = 3.3296012483565187
poids(queueing,2454) = 3.391749155105363
poids(networks,2454) = 3.0143308135779274
poids(exponential,2454) = 2.9036325160842376
poids(servers,2454) = 4.5056925074122
poids(methods,2454) = 1.625210001154447
poids(presented,2454) = 1.4623837658682903
poids(computing,2454) = 1.742251604171131
poids(equilibrium,2454) = 2.6023312558741094
poids(distribution,2454) = 1.8430742859351656
poids(customers,2454) = 2.5142856263462687
poids(expressions,2454) = 1.8272170793465623
poids(various,2454) = 1.7169052500530373
poids(marginal,2454) = 2.6023312558741094
poids(distributions,2454) = 2.0719823356973035
poids(also,2454) = 1.5701022612606503
poids(derived,2454) = 1.8430742859351656
poids(based,2454) = 1.6204373422013318
poids(two,2454) = 1.5284930937535601
poids(dimensional,2454) = 1.926239996818428
poids(iterative,2454) = 2.0292672380349903
poids(techniques,2454) = 1.6204373422013318
poids(highly,2454) = 2.007165406788964
poids(efficient,2454) = 1.6892938545236962
poids(quite,2454) = 2.0371643716266066
poids(simple,2454) = 1.6535177102288887
poids(implement,2454) = 2.137621793016963
poids(implementation,2454) = 1.6677153960086213
poids(considerations,2454) = 2.1023312558741094
poids(storage,2454) = 1.5948610809776411
poids(allocation,2454) = 1.818230393840612
poids(strategies,2454) = 2.2528462537061
poids(order,2454) = 1.6925592881031752
poids(evaluation,2454) = 1.7907066106751592
poids(examined,2454) = 1.907748213691843
poids(detail,2454) = 1.9311199154630063
poids(generalization,2455) = 1.8431009994960652
poids(avl,2455) = 2.596356680438766
poids(trees,2455) = 2.914627900385701
poids(proposed,2455) = 1.2706808326058288
poids(imbalances,2455) = 2.40227700296488
poids(triangle,2455) = 1.640932502349644
poids(shape,2455) = 1.4853022522729151
poids(small,2455) = 1.6244839341048127
poids(integer,2455) = 1.3898780013289826
poids(experiment,2455) = 1.4783498310210725
poids(performed,2455) = 1.3785817301384928
poids(compare,2455) = 1.4783498310210725
poids(standard,2455) = 1.2853022522729152
poids(balanced,2455) = 1.4719128943467923
poids(basis,2455) = 1.3499635303479418
poids(mean,2455) = 1.4215504997480326
poids(retrieval,2455) = 1.974927349078845
poids(time,2455) = 1.5534962400661465
poids(amount,2455) = 2.111487996182114
poids(restructuring,2455) = 2.0642377869591773
poids(expected,2455) = 1.385181782159078
poids(worst,2455) = 1.492859964450795
poids(case,2455) = 1.3162826442700637
poids(shown,2455) = 1.2426872872111447
poids(permitting,2455) = 1.50113850148244
poids(five,2455) = 1.3898780013289826
poids(units,2455) = 1.4783498310210725
poids(increased,2455) = 1.4287929342789214
poids(required,2455) = 1.2838665353474905
poids(decreased,2455) = 1.5613445006152364
poids(factor,2455) = 1.4181438318882764
poids(ten,2455) = 1.460314504951255
poids(theoretical,2455) = 1.3974357135068625
poids(results,2455) = 1.2342477512522538
poids(derived,2455) = 1.3372297143740663
poids(including,2455) = 1.3499635303479418
poids(correction,2455) = 1.4326539653179988
poids(earlier,2455) = 1.4409325023496438
poids(paper,2455) = 1.1734406500915124
poids(duly,2455) = 1.70113850148244
poids(compared,2455) = 1.3261262488041
poids(experimental,2455) = 1.3499635303479418
poids(data,2455) = 1.1882052886320222
poids(reasonably,2455) = 1.510289999594575
poids(good,2455) = 1.4086589019026488
poids(correspondence,2455) = 1.5205205040840513
poids(found,2455) = 1.3399025066856627
poids(capabilities,2456) = 1.4843726958363013
poids(repeat,2456) = 3.6292693805591503
poids(exit,2456) = 3.1777243870631784
poids(statements,2456) = 2.727541257028556
poids(well,2456) = 2.426511261364575
poids(formed,2456) = 3.5514499979728753
poids(program,2456) = 1.6952899730830957
poids(defined,2456) = 1.389075625191822
poids(loops,2456) = 1.5753931311890688
poids(properly,2456) = 1.650650630105064
poids(nested,2456) = 1.5626050005772236
poids(entered,2456) = 1.6651486168494858
poids(beginning,2456) = 1.650650630105064
poids(corresponding,2456) = 1.4873475016612283
poids(definition,2456) = 1.4561128175091533
poids(given,2456) = 1.2376495147084703
poids(flowchart,2456) = 2.213255630682288
poids(shown,2456) = 1.910077327041793
poids(written,2456) = 1.4048004455599297
poids(multi,2456) = 1.5458683031695704
poids(level,2456) = 1.7550286564073252
poids(sequence,2456) = 1.433710123942514
poids(control,2456) = 1.3462796440515876
poids(also,2456) = 1.5701022612606503
poids(single,2456) = 1.410592411822936
poids(suffice,2456) = 1.681885314257139
poids(flowcharts,2456) = 1.5824003120891297
poids(converted,2456) = 1.6651486168494858
poids(node,2456) = 1.5567347266148428
poids(splitting,2456) = 1.7016806257690453
poids(practical,2456) = 1.4199044261778435
poids(implications,2456) = 1.5269381246850406
poids(discussed,2456) = 1.265411927873531
poids(inductive,2457) = 2.7350683469468375
poids(methodsfor,2457) = 2.1685641691374
poids(proving,2457) = 2.393812772960921
poids(properties,2457) = 2.1029561057954167
poids(programs,2457) = 2.092392743330948
poids(two,2457) = 1.70465745833808
poids(main,2457) = 1.5832725505799028
poids(purposes,2457) = 1.767190841585425
poids(paper,2457) = 1.2890677501525207
poids(first,2457) = 1.458452912972398
poids(clarification,2457) = 2.0095237508975123
poids(extension,2457) = 1.5807548379497542
poids(known,2457) = 2.072043610747839
poids(results,2457) = 1.3904129187537564
poids(computation,2457) = 1.48420468797626
poids(recursive,2457) = 2.2414932206173415
poids(emphasis,2457) = 1.6538748210206413
poids(difference,2457) = 1.7146548904648689
poids(theoretical,2457) = 1.6623928558447707
poids(practical,2457) = 1.5598725682371244
poids(approaches,2457) = 1.7084937552335313
poids(second,2457) = 1.5454869292270745
poids(presentation,2457) = 1.776533749452173
poids(examination,2457) = 1.7584145286779753
poids(various,2457) = 1.4779368333686915
poids(methods,2457) = 1.833613334872596
poids(discussed,2457) = 1.3538825704980413
poids(detail,2457) = 1.6207466103086707
poids(powerful,2457) = 1.6714436045259757
poids(computational,2457) = 1.6081504233455375
poids(induction,2457) = 2.8711483353841207
poids(structural,2457) = 1.767190841585425
poids(including,2457) = 1.5832725505799028
poids(examples,2457) = 1.488099940751325
poids(applications,2457) = 1.4907562506417502
poids(localization,2458) = 3.9036325160842376
poids(roots,2458) = 3.0285712526925375
poids(polynomial,2458) = 2.6483600109809315
poids(algorithm,2458) = 1.4286881806188498
poids(r429,2458) = 4.204662511748219
poids(hu,2459) = 4.204662511748219
poids(tucker,2459) = 4.204662511748219
poids(minimum,2459) = 2.7896891637774006
poids(redundancy,2459) = 3.464299822253975
poids(alphabetic,2459) = 3.660594467397943
poids(coding,2459) = 2.8929086506924646
poids(method,2459) = 1.914627900385701
poids(algorithm,2459) = 1.4286881806188498
poids(r428,2459) = 4.5056925074122
poids(clenshaw,2460) = 3.8067225030761813
poids(curtis,2460) = 3.9036325160842376
poids(quadrature,2460) = 3.0143308135779274
poids(algorithm,2460) = 1.4286881806188498
poids(r424,2460) = 4.5056925074122
poids(graph,2461) = 2.8429346757306257
poids(plotter,2461) = 3.5056925074122
poids(algorithm,2461) = 1.4286881806188498
poids(r412,2461) = 4.5056925074122
poids(efficient,2462) = 2.3785877090473924
poids(prime,2462) = 3.0743287432532127
poids(number,2462) = 2.0143308135779274
poids(generator,2462) = 2.824451270036613
poids(algorithm,2462) = 1.4286881806188498
poids(r357,2462) = 4.5056925074122
poids(complex,2463) = 2.514466431719705
poids(gamma,2463) = 3.090719159441382
poids(function,2463) = 2.217890777481974
poids(algorithm,2463) = 1.4286881806188498
poids(r404,2463) = 4.5056925074122
poids(c404,2463) = 4.5056925074122
poids(complex,2464) = 2.514466431719705
poids(method,2464) = 1.914627900385701
poids(constrained,2464) = 3.9036325160842376
poids(optimization,2464) = 2.8722240518326134
poids(e4,2464) = 3.359564471733962
poids(algorithm,2464) = 1.4286881806188498
poids(a454,2464) = 4.5056925074122
poids(gaussian,2465) = 3.301572524756275
poids(quadrature,2465) = 3.0143308135779274
poids(formulas,2465) = 2.9616244630619244
poids(bromwich,2465) = 4.5056925074122
poids(integral,2465) = 2.8067225030761813
poids(d1,2465) = 2.9742135903699447
poids(algorithm,2465) = 1.4286881806188498
poids(a453,2465) = 4.5056925074122
poids(enumerating,2466) = 4.0285712526925375
poids(combinations,2466) = 3.125481265700594
poids(n,2466) = 2.405321962294637
poids(objects,2466) = 2.914627900385701
poids(g6,2466) = 3.125481265700594
poids(algorithm,2466) = 1.4286881806188498
poids(a452,2466) = 4.5056925074122
poids(chi,2467) = 3.9036325160842376
poids(square,2467) = 2.914627900385701
poids(quantiles,2467) = 4.0285712526925375
poids(g1,2467) = 3.9036325160842376
poids(algorithm,2467) = 1.4286881806188498
poids(a451,2467) = 4.5056925074122
poids(rosenbrock,2468) = 4.0285712526925375
poids(function,2468) = 2.217890777481974
poids(minimization,2468) = 3.275243586033926
poids(e4,2468) = 3.359564471733962
poids(algorithm,2468) = 1.4286881806188498
poids(a450,2468) = 4.5056925074122
poids(petri,2469) = 4.5056925074122
poids(nets,2469) = 3.0456559427714174
poids(speed,2469) = 2.713300817913946
poids(independent,2469) = 2.7422645138492627
poids(design,2469) = 1.6401916128431686
poids(investigated,2469) = 1.5824003120891297
poids(one,2469) = 1.2564213911137623
poids(method,2469) = 1.2286569750964251
poids(modeling,2469) = 2.232149911126988
poids(asynchronous,2469) = 1.6651486168494858
poids(circuits,2469) = 1.616074955563494
poids(study,2469) = 1.3953533053375797
poids(circuit,2469) = 1.650650630105064
poids(realizations,2469) = 1.8011656279370547
poids(leads,2469) = 1.650650630105064
poids(demonstration,2469) = 1.681885314257139
poids(usefulness,2469) = 2.213255630682288
poids(operation,2469) = 1.4136085396732812
poids(emphasized,2469) = 1.7016806257690453
poids(processor,2469) = 1.441332454479489
poids(modules,2469) = 1.616074955563494
poids(developed,2469) = 1.3253931311890688
poids(investigation,2469) = 1.5626050005772236
poids(net,2469) = 1.7571428131731344
poids(implementation,2469) = 1.3338576980043106
poids(fen,2470) = 2.1685641691374
poids(axiomatic,2470) = 1.46778708384603
poids(basis,2470) = 1.2916362752899513
poids(program,2470) = 1.3090177658147093
poids(semantics,2470) = 2.0627406328502973
poids(formal,2470) = 1.585834826802
poids(system,2470) = 1.8015419905724008
poids(presented,2470) = 1.3082558439121934
poids(abstracts,2470) = 1.5047618754487562
poids(notions,2470) = 1.4252416663288126
poids(data,2470) = 1.6273509621067404
poids(item,2470) = 1.776533749452173
poids(function,2470) = 1.4059635924939913
poids(relation,2470) = 1.335721802262988
poids(argued,2470) = 1.4107166370423292
poids(suitable,2470) = 1.3120373419721023
poids(set,2470) = 1.1948721289272783
poids(theory,2470) = 1.6111982164921608
poids(derivatives,2470) = 1.3882668747260865
poids(concise,2470) = 1.4545902095047594
poids(accurate,2470) = 1.3711564844098951
poids(description,2470) = 1.2698669637066198
poids(shown,2470) = 1.4044788120185747
poids(used,2470) = 1.3277494246352934
poids(build,2470) = 1.4337670867367094
poids(composite,2470) = 1.4337670867367094
poids(types,2470) = 1.8241800054904658
poids(simper,2470) = 1.5842820845687
poids(ones,2470) = 1.3674437519580365
poids(operations,2470) = 1.2395844409443397
poids(rowing,2470) = 1.5842820845687
poids(structuring,2470) = 1.3835954207927124
poids(uniting,2470) = 1.5842820845687
poids(also,2470) = 1.1900340870868833
poids(demonstrated,2470) = 1.3605449710983324
poids(completely,2470) = 1.3639122021130468
poids(new,2470) = 1.195206459376878
poids(primitive,2470) = 1.3711564844098951
poids(introduced,2470) = 1.6143115585768752
poids(languages,2470) = 1.2319581925175607
poids(mechanism,2470) = 1.3542468776167658
poids(singleton,2470) = 1.534110418624703
poids(deterministic,2470) = 1.4176154179020333
poids(nondeterministic,2470) = 1.4337670867367094
poids(functions,2470) = 1.6677153960086213
poids(definable,2470) = 1.534110418624703
poids(described,2470) = 1.1507866019542419
poids(local,2470) = 1.734887503916073
poids(environment,2470) = 1.568783985986206
poids(modeled,2470) = 1.4545902095047594
poids(imperative,2470) = 1.4839387526807062
poids(statements,2470) = 1.5758470856761855
poids(considered,2470) = 1.245378125320875
poids(nature,2470) = 1.3380952087820894
poids(recursive,2470) = 1.3103733051543354
poids(briefly,2470) = 1.3269374105103207
poids(discussed,2470) = 1.1769412852490206
poids(technique,2470) = 1.408979635486457
poids(contrasted,2470) = 1.4839387526807062
poids(use,2470) = 1.1602707438436541
poids(paradoxical,2470) = 1.5842820845687
poids(combinator,2470) = 1.5842820845687
poids(questions,2470) = 1.3457214572088687
poids(global,2470) = 1.3835954207927124
poids(environments,2470) = 1.3792072643389877
poids(various,2470) = 1.2389684166843458
poids(modes,2470) = 1.4337670867367094
poids(calling,2470) = 1.4545902095047594
poids(parameter,2470) = 1.3542468776167658
poids(passing,2470) = 1.4545902095047594
poids(touched,2470) = 1.5842820845687
poids(upon,2470) = 1.2982815272962336
poids(applied,2470) = 1.2509487512353665
poids(proof,2470) = 1.3191046500642836
poids(several,2470) = 1.2155841505013738
poids(elementary,2470) = 1.3269374105103207
poids(theorems,2470) = 1.3882668747260865
poids(concerning,2470) = 1.3512920831233604
poids(assignment,2470) = 1.3430890793449968
poids(conditional,2470) = 1.3711564844098951
poids(iterative,2470) = 1.3430890793449968
poids(appendix,2470) = 1.4252416663288126
poids(included,2470) = 1.2843919929931031
poids(presents,2470) = 1.273728274548624
poids(detail,2470) = 1.3103733051543354
poids(governing,2470) = 1.5047618754487562
poids(webs,2470) = 1.5842820845687
poids(abstractions,2470) = 1.4337670867367094
poids(informally,2470) = 1.4252416663288126
poids(body,2470) = 1.4434324112329904
poids(paper,2470) = 1.1445338750762604
poids(learning,2471) = 2.00227700296488
poids(program,2471) = 1.9270532974441277
poids(plays,2471) = 1.6057142505385076
poids(partnership,2471) = 2.40227700296488
poids(dominoes,2471) = 3.10341550444732
poids(written,2471) = 1.3238403564479437
poids(basic,2471) = 1.3002742267259115
poids(play,2471) = 1.5321188934795886
poids(four,2471) = 1.3596244662628527
poids(player,2471) = 1.5807265032168476
poids(game,2471) = 2.02057999918915
poids(incomplete,2471) = 1.4500840004617788
poids(information,2471) = 1.4560818090085201
poids(uses,2471) = 1.3284739294583487
poids(somewhat,2471) = 1.4853022522729151
poids(different,2471) = 1.308380936013329
poids(principles,2471) = 1.4500840004617788
poids(artificial,2471) = 1.4719128943467923
poids(intelligence,2471) = 1.4853022522729151
poids(used,2471) = 1.196649654781176
poids(programs,2471) = 1.2184785486661895
poids(games,2471) = 2.281865004699288
poids(complete,2471) = 1.3455082514057113
poids(checkers,2471) = 1.70113850148244
poids(chess,2471) = 1.640932502349644
poids(go,2471) = 1.4783498310210725
poids(constructed,2471) = 1.3898780013289826
poids(use,2471) = 1.1923248926123848
poids(strategy,2471) = 1.8653079306359976
poids(signature,2471) = 1.5807265032168476
poids(table,2471) = 1.6744594287481327
poids(classifies,2471) = 1.640932502349644
poids(board,2471) = 1.6057142505385076
poids(situations,2471) = 1.8818650046992875
poids(interactions,2471) = 1.5205205040840513
poids(parameters,2471) = 1.3546597495178463
poids(entry,2471) = 1.394842718073989
poids(contains,2471) = 1.4250962531401188
poids(adaptively,2471) = 1.70113850148244
poids(determined,2471) = 1.4326539653179988
poids(weights,2471) = 1.5205205040840513
poids(indicating,2471) = 1.5455082514057112
poids(advi,2471) = 1.70113850148244
poids(sability,2471) = 1.70113850148244
poids(various,2471) = 1.2867621000212148
poids(strategies,2471) = 1.50113850148244
poids(chosen,2471) = 1.4250962531401188
poids(employs,2471) = 1.4783498310210725
poids(probability,2471) = 1.4028661627155854
poids(analysis,2471) = 1.2409325023496438
poids(linear,2471) = 1.2796965075528663
poids(polynomial,2471) = 1.3296720021961863
poids(evaluation,2471) = 1.3162826442700637
poids(choose,2471) = 1.5321188934795886
poids(move,2471) = 1.510289999594575
poids(wins,2471) = 1.640932502349644
poids(approximately,2471) = 1.4409325023496438
poids(two,2471) = 1.2113972375014241
poids(thirds,2471) = 1.70113850148244
poids(tournament,2471) = 1.70113850148244
poids(defeated,2471) = 1.70113850148244
poids(championship,2471) = 1.70113850148244
poids(players,2471) = 1.6057142505385076
poids(minimal,2472) = 2.9616244630619244
poids(spanning,2472) = 3.4265112613645754
poids(tree,2472) = 2.6483600109809315
poids(algorithm,2472) = 1.4286881806188498
poids(r422,2472) = 4.5056925074122
poids(hidden,2473) = 3.4265112613645754
poids(line,2473) = 2.6248789151314087
poids(plotting,2473) = 3.301572524756275
poids(program,2473) = 1.9270532974441277
poids(algorithm,2473) = 1.4286881806188498
poids(r420,2473) = 3.8067225030761813
poids(difsub,2474) = 4.204662511748219
poids(solution,2474) = 2.285584419372145
