(preliminary,1) -> 3.204662511748219
(text,1726) -> 2.193126109184934
(methods,1726) -> 1.416806667436298
(converting,1726) -> 1.7501400007696313
(unstructured,1726) -> 2.1685641691374
(printed,1726) -> 2.6428665481693168
(material,1726) -> 3.125481265700594
(computer,1726) -> 1.243239392094277
(code,1726) -> 1.510854884604167
(experimentally,1726) -> 1.9355741676920604
(investigated,1726) -> 1.776533749452173
(operator,1726) -> 1.7972497183684544
(controlled,1726) -> 1.6914429144177374
(mode,1726) -> 3.204662511748219
(depending,1726) -> 1.8352308358040665
(human,1726) -> 1.6714436045259757
(demarcation,1726) -> 2.1685641691374
(various,1726) -> 1.4779368333686915
(regions,1726) -> 1.767190841585425
(page,1726) -> 3.0585344760699806
(guiding,1726) -> 2.068220837249406
(scanner,1726) -> 3.0190475017950247
(implemented,1726) -> 1.527137740450106
(means,1726) -> 1.5171499993242916
(joystick,1726) -> 2.1685641691374
(crt,1726) -> 1.9091804190095187
(display,1726) -> 1.6174933312122854
(performance,1726) -> 1.5048221439065683
(figures,1726) -> 2.068220837249406
(obtained,1726) -> 2.0375350005115247
(thought,1726) -> 1.9091804190095187
(suitable,1726) -> 2.248149367888409
(processing,1726) -> 1.399398823166329
(complicated,1726) -> 1.767190841585425
(technical,1726) -> 1.7423129688197903
(journals,1726) -> 2.1685641691374
(simpler,1726) -> 1.8214332740846584
(instance,1726) -> 1.8675341734734188
(claims,1726) -> 2.068220837249406
(sections,1726) -> 1.850483332657625
(patents,1726) -> 2.068220837249406
(applications,1726) -> 1.4907562506417502
(utmost,1726) -> 2.068220837249406
(accuracy,1726) -> 1.6345441720280791
(necessary,1726) -> 1.5556144722249816
(unsupervised,1726) -> 2.1685641691374
(advocated,1726) -> 2.0095237508975123
(textual,1726) -> 2.068220837249406
(portions,1726) -> 1.9355741676920604
(located,1726) -> 1.850483332657625
(rapid,1726) -> 1.7146548904648689
(prescan,1726) -> 2.1685641691374
(rudimentary,1726) -> 2.068220837249406
(form,1726) -> 1.4791688818886795
(frequency,1726) -> 1.7210899421966646
(analysis,1726) -> 1.4015541705827395
(areas,1726) -> 1.676190417564179
(rescanned,1726) -> 2.1685641691374
(higher,1726) -> 1.6969063864804605
(resolution,1726) -> 1.8675341734734188
(character,1726) -> 1.5910995825297438
(recognition,1726) -> 1.6810981698377478
(error,1726) -> 1.482929218691909
(rates,1726) -> 1.7972497183684544
(order,1726) -> 1.4617061920687835
(0,1726) -> 1.7278244042260935
(1,1726) -> 1.4451435973390807
(percent,1726) -> 1.6969063864804605
(simple,1726) -> 1.4356784734859258
(problem,1726) -> 1.3467698853212606
(involving,1726) -> 1.6309695502308215
(photographs,1726) -> 1.9678775053614124
(telephone,1726) -> 1.8214332740846584
(company,1726) -> 2.0095237508975123
(meter,1726) -> 2.068220837249406
(boards,1726) -> 2.068220837249406
(matters,1726) -> 2.0095237508975123
(related,1726) -> 1.6240746839442044
(design,1726) -> 1.4267944085621123
(general,1726) -> 1.3825858868039154
(purpose,1726) -> 1.4921029099089966
(reader,1726) -> 1.886864822465981
(segmentation,1726) -> 1.7972497183684544
(possibility,1726) -> 1.8214332740846584
(time,1726) -> 1.307497911147859
(sharing,1726) -> 1.5665041778094375
(interactive,1726) -> 1.6051654757945621
(man,1726) -> 1.6861781586899935
(machine,1726) -> 1.4432004161188394
(operation,1726) -> 1.5514780528977083
(facsimile,1726) -> 2.1685641691374
(reproduction,1726) -> 2.068220837249406
(illustrations,1726) -> 1.9355741676920604
(discussed,1726) -> 1.3538825704980413
(one,1727) -> 1.073263254603932
(way,1727) -> 1.117312117663696
(estimating,1727) -> 1.1789780362437285
(frequencies,1727) -> 1.1822464284266339
(jumps,1727) -> 1.4578089302497454
(program,1727) -> 1.2648723706983223
(segmentation,1727) -> 1.1708392253646687
(useful,1727) -> 1.1190602440482103
(reasonable,1727) -> 1.1822464284266339
(estimation,1727) -> 1.69328893181845
(values,1727) -> 1.1168900562629445
(ij,1727) -> 4.204662511748219
(mean,1727) -> 1.1505537499100116
(value,1727) -> 1.1204391837050236
(number,1727) -> 1.072452200969852
(th,1727) -> 1.3896487510040794
(instruction,1727) -> 1.547036542967343
(j,1727) -> 1.3370806388191374
(run,1727) -> 1.1344602297867357
(time,1727) -> 1.0658924095316842
(cases,1727) -> 1.127244045557958
(estimated,1727) -> 1.1900424619569958
(directly,1727) -> 1.1367591357418358
(structure,1727) -> 1.1840297947426133
(whole,1727) -> 1.357956072487457
(must,1727) -> 1.223739036399083
(generally,1727) -> 1.1470381768621414
(taken,1727) -> 1.1470381768621414
(account,1727) -> 1.1574758936963012
(therefore,1727) -> 1.155962372334163
(difficult,1727) -> 1.141941326252451
(programmer,1727) -> 1.130317947859758
(translator,1727) -> 1.1518200904071854
(obtain,1727) -> 1.142895894935164
(good,1727) -> 1.1459496078223745
(easier,1727) -> 1.4009603575823115
(estimate,1727) -> 1.3062806673420866
(quantities,1727) -> 1.1733222329546125
(p,1727) -> 1.7798118616708147
(c,1727) -> 1.2986741656344831
(sum,1727) -> 1.1518200904071854
(1,1727) -> 1.0953879137155174
(n,1727) -> 1.1003801401639026
(arbitrary,1727) -> 1.1290516073625843
(positive,1727) -> 1.1531403336710433
(constant,1727) -> 1.1470381768621414
(although,1727) -> 1.1260949869941397
(proportional,1727) -> 1.1685403194095687
(probabilities,1727) -> 1.1625173990024233
(events,1727) -> 1.155962372334163
(executed,1727) -> 1.1574758936963012
(often,1727) -> 1.1278349402698145
(done,1727) -> 1.1545192733278566
(without,1727) -> 1.1137056182163203
(considering,1727) -> 1.1900424619569958
(first,1727) -> 1.0982399099226567
(part,1727) -> 1.2230299764660044
(paper,1727) -> 1.0619430893183974
(using,1727) -> 1.0760559589533558
(theory,1727) -> 1.1309710463911773
(markov,1727) -> 1.1789780362437285
(chains,1727) -> 1.216326518049467
(algorithm,1727) -> 1.0612411686598358
(computation,1727) -> 1.2075162948469687
(found,1727) -> 1.1213937523877366
(ways,1727) -> 1.1481663388038008
(obtaining,1727) -> 1.155962372334163
(estimates,1727) -> 1.1531403336710433
(given,1727) -> 1.0678998613452773
(second,1727) -> 1.1168900562629445
(variant,1727) -> 1.1789780362437285
(derived,1727) -> 1.1204391837050236
(avoiding,1727) -> 1.176021415875284
(necessity,1727) -> 1.1900424619569958
(involving,1727) -> 1.1352077607637474
(large,1727) -> 1.0901896041947075
(matrices,1727) -> 1.12188228271133
(experimental,1728) -> 1.4374544129349272
(data,1728) -> 1.9410264431601107
(behavior,1728) -> 1.9518162580421188
(programs,1728) -> 2.092392743330948
(paging,1728) -> 1.490406115765481
(environment,1728) -> 1.4265879894896547
(results,1728) -> 1.2928096890653173
(summarized,1728) -> 1.5898911179334905
(empirical,1728) -> 1.490406115765481
(study,1728) -> 1.3953533053375797
(directed,1728) -> 1.5146336190174952
(measurement,1728) -> 1.5753931311890688
(program,1728) -> 1.463526648722064
(operating,1728) -> 1.3819922255308381
(multiprogramming,1728) -> 1.4843726958363013
(systems,1728) -> 1.2508163468569418
(organized,1728) -> 1.5898911179334905
(fixed,1728) -> 1.4453541594528527
(length,1728) -> 1.4300906681003582
(pages,1728) -> 1.5979372887763408
(collected,1728) -> 1.7016806257690453
(interpretive,1728) -> 1.5979372887763408
(execution,1728) -> 1.410592411822936
(number,1728) -> 1.253582703394482
(paged,1728) -> 1.62642312685305
(used,1728) -> 1.49162413695294
(describe,1728) -> 1.490406115765481
(frequency,1728) -> 2.081634913294997
(page,1728) -> 2.5439008570524857
(faults,1728) -> 1.7571428131731344
(e,1728) -> 1.4199044261778435
(instants,1728) -> 1.8011656279370547
(executing,1728) -> 2.275724998986438
(requires,1728) -> 1.4265879894896547
(instructions,1728) -> 1.4873475016612283
(main,1728) -> 1.4374544129349272
(core,1728) -> 1.4680560129581535
(memory,1728) -> 1.341453355252741
(also,1728) -> 1.2850511306303252
(evaluation,1728) -> 1.3953533053375797
(replacement,1728) -> 1.5753931311890688
(algorithms,1728) -> 1.3084627252189254
(assessing,1728) -> 1.87642312685305
(effects,1728) -> 1.5071428131731344
(performance,1728) -> 1.3786166079299262
(changes,1728) -> 1.4732271626731162
(amount,1728) -> 1.463119998409214
(storage,1728) -> 1.2974305404888207
(allocated,1728) -> 1.6651486168494858
(minit,1729) -> 2.4033612515380907
(algorithm,1729) -> 1.4286881806188498
(linear,1729) -> 1.6992412688821659
(programming,1729) -> 1.4871067951849724
(333,1729) -> 2.6023312558741094
(h,1729) -> 1.899061165657132
(jacobi,1730) -> 3.5056925074122
(polynomials,1730) -> 2.852479993636856
(algorithm,1730) -> 1.4286881806188498
(332,1730) -> 4.204662511748219
(s22,1730) -> 3.301572524756275
(gaussian,1731) -> 3.301572524756275
(quadrature,1731) -> 3.0143308135779274
(formulas,1731) -> 2.9616244630619244
(algorithm,1731) -> 1.4286881806188498
(331,1731) -> 4.0285712526925375
(d1,1731) -> 2.9742135903699447
(factorial,1732) -> 3.727541257028556
(analysis,1732) -> 2.204662511748219
(variance,1732) -> 3.163269826589994
(algorithm,1732) -> 1.4286881806188498
(330,1732) -> 4.5056925074122
(g1,1732) -> 3.9036325160842376
(distribution,1733) -> 2.6861485718703313
(indistinguishable,1733) -> 4.0285712526925375
(objects,1733) -> 2.914627900385701
(distinguishable,1733) -> 4.0285712526925375
(slots,1733) -> 4.204662511748219
(algorithm,1733) -> 1.4286881806188498
(g6,1733) -> 3.125481265700594
(chebyshev,1734) -> 3.143964671394607
(solution,1734) -> 2.285584419372145
(overdetermined,1734) -> 3.8067225030761813
(linear,1734) -> 2.3984825377643317
(system,1734) -> 1.8015419905724008
(algorithm,1734) -> 1.4286881806188498
(328,1734) -> 4.204662511748219
(f4,1734) -> 3.391749155105363
(futures,1735) -> 1.87642312685305
(market,1735) -> 1.7259081290210594
(computer,1735) -> 1.729718176282831
(time,1735) -> 1.9224937334435772
(auction,1735) -> 2.7528462537061
(method,1735) -> 1.2286569750964251
(described,1735) -> 1.226179902931363
(allocating,1735) -> 1.6651486168494858
(allows,1735) -> 1.4136085396732812
(price,1735) -> 1.7016806257690453
(fluctuate,1735) -> 1.87642312685305
(demand,1735) -> 1.5626050005772236
(relative,1735) -> 1.4583986623691207
(priority,1735) -> 1.5979372887763408
(users,1735) -> 1.4265879894896547
(controlled,1735) -> 1.5185821858133033
(important,1735) -> 1.40339947618043
(projects,1735) -> 1.7016806257690453
(get,1735) -> 1.6651486168494858
(better,1735) -> 1.5001356322730737
(access,1735) -> 1.4265879894896547
(free,1735) -> 1.4248781333570784
(periodic,1735) -> 1.681885314257139
(fluctuation,1735) -> 1.87642312685305
(use,1735) -> 1.240406115765481
(often,1735) -> 1.4474222909443502
(associated,1735) -> 1.433710123942514
(monthly,1735) -> 1.87642312685305
(allocation,1735) -> 1.409115196920306
(schemes,1735) -> 1.5408174566474986
(heading,1736) -> 4.204662511748219
(format,1736) -> 3.0143308135779274
(data,1736) -> 1.9410264431601107
(transmission,1736) -> 3.163269826589994
(usaai,1736) -> 4.5056925074122
(tutorial,1736) -> 3.391749155105363
(standards,1736) -> 3.183473212678281
(global,1737) -> 3.301572524756275
(parser,1737) -> 3.3296012483565187
(context,1737) -> 2.7498176517397086
(free,1737) -> 2.699512533428313
(phrase,1737) -> 3.391749155105363
(structure,1737) -> 2.288208563198294
(grammars,1737) -> 3.0585344760699806
(writing,1738) -> 1.291899215644749
(outline,1738) -> 1.352042831750568
(debugging,1738) -> 3.0743287432532127
(program,1738) -> 1.7946171120949665
(experienced,1738) -> 1.829609290309782
(user,1738) -> 1.8278786606147013
(presently,1738) -> 1.357956072487457
(available,1738) -> 1.224456293738376
(online,1738) -> 1.636268258988392
(routines,1738) -> 1.282030512909992
(often,1738) -> 1.2556698805396287
(unsatisfactory,1738) -> 1.4326530360989338
(require,1738) -> 1.2660342615608589
(unnecessarily,1738) -> 1.414804645154891
(rigid,1738) -> 1.4578089302497454
(complicated,1738) -> 1.3287960749651822
(typing,1738) -> 1.8653060721978678
(formats,1738) -> 1.3896487510040794
(make,1738) -> 1.260635895719516
(difficult,1738) -> 1.2838826525049019
(correct,1738) -> 1.2877615447968467
(errors,1738) -> 1.2437645654226597
(consume,1738) -> 1.4578089302497454
(excessive,1738) -> 1.414804645154891
(memory,1738) -> 1.1951162030015663
(intricate,1738) -> 1.5008132153445999
(features,1738) -> 1.453318404296036
(prime,1738) -> 1.2963326776076018
(importance,1738) -> 1.3062806673420866
(simple,1738) -> 1.1867193457796825
(flexible,1738) -> 1.3036401808143705
(highly,1738) -> 1.2877615447968467
(efficient,1738) -> 1.1969411012924847
(use,1738) -> 1.2747498465891212
(communication,1738) -> 1.2689204595734713
(improved,1738) -> 1.2767843976207436
(using,1738) -> 1.1521119179067116
(certain,1738) -> 1.1942234959619946
(techniques,1738) -> 1.3545356241150468
(applicable,1738) -> 1.260635895719516
(programs,1738) -> 1.1560561061901353
(presented,1738) -> 1.13210964739094
(illustrated,1738) -> 1.2689204595734713
(opak,1738) -> 1.5008132153445999
(octal,1738) -> 1.4326530360989338
(package,1738) -> 1.3214885717584135
(coded,1738) -> 1.2986741656344831
(pdp,1738) -> 1.3416784507293376
(5,1738) -> 1.2877615447968467
(8,1738) -> 1.3328001783366454
(sds,1738) -> 1.5008132153445999
(930,1738) -> 1.5008132153445999
(compromise,1738) -> 1.3800849239139918
(economy,1738) -> 1.3718003600600366
(utility,1738) -> 1.3062806673420866
(core,1738) -> 1.2674605788332305
(storage,1738) -> 1.1699603088507546
(incorporation,1738) -> 1.4009603575823115
(elegant,1738) -> 1.3800849239139918
(discussed,1738) -> 1.1516639587848747
(regular,1739) -> 3.4265112613645754
(expression,1739) -> 2.9616244630619244
(search,1739) -> 1.5397339274132393
(algorithm,1739) -> 1.1428960602062832
(method,1739) -> 1.6097519335904673
(locating,1739) -> 1.8675341734734188
(specific,1739) -> 1.6143115585768752
(character,1739) -> 2.1821991650594876
(strings,1739) -> 1.593805545937137
(embedded,1739) -> 2.6428665481693168
(text,1739) -> 2.7896891637774006
(described,1739) -> 1.301573203908484
(implementation,1739) -> 1.4451435973390807
(form,1739) -> 1.4791688818886795
(compiler,1739) -> 2.054275480900212
(discussed,1739) -> 1.3538825704980413
(accepts,1739) -> 2.670461671608133
(source,1739) -> 1.602240834358727
(language,1739) -> 1.6828332526065966
(produces,1739) -> 2.5168290573559506
(ibm,1739) -> 1.5093229673744508
(7094,1739) -> 1.767190841585425
(program,1739) -> 1.6180355316294184
(object,1739) -> 2.2103309515891243
(searched,1739) -> 1.8675341734734188
(input,1739) -> 1.4639163850351211
(signal,1739) -> 1.850483332657625
(every,1739) -> 1.7025841662467207
(time,1739) -> 1.307497911147859
(string,1739) -> 1.6274810723381
(matches,1739) -> 1.9091804190095187
(given,1739) -> 1.3168660196112936
(examples,1739) -> 1.488099940751325
(problems,1739) -> 1.3857958814546798
(solution,1739) -> 1.428528139790715
(also,1739) -> 1.3800681741737668
(presented,1739) -> 1.3082558439121934
(inexpensive,1740) -> 2.4033612515380907
(braille,1740) -> 3.9036325160842376
(terminal,1740) -> 3.090719159441382
(device,1740) -> 2.0002712645461473
(active,1740) -> 2.232149911126988
(use,1740) -> 1.4808122315309622
(time,1740) -> 1.4612468667217886
(shared,1740) -> 2.0292672380349903
(facilities,1740) -> 1.9464543253462323
(blind,1740) -> 2.6023312558741094
(programmers,1740) -> 2.1507862623781375
(requires,1740) -> 1.8531759789793092
(system,1740) -> 1.4007709952862004
(details,1740) -> 2.0627406328502973
(given,1740) -> 1.4752990294169406
(construction,1740) -> 1.8787522402029997
(brailler,1740) -> 4.5056925074122
(model,1740) -> 1.704391247202072
(33,1740) -> 2.5142856263462687
(teletype,1740) -> 2.4033612515380907
(modifying,1740) -> 2.4033612515380907
(print,1740) -> 2.4033612515380907
(head,1740) -> 2.2528462537061
(increasing,1740) -> 2.0917366063391407
(resiliency,1740) -> 2.7528462537061
(platen,1740) -> 2.7528462537061
(description,1740) -> 1.8096008911198591
(programming,1740) -> 1.4871067951849724
(needed,1740) -> 1.9311199154630063
(drive,1740) -> 2.2528462537061
(presented,1740) -> 1.4623837658682903
(brad,1741) -> 1.8011656279370547
(brookhaven,1741) -> 1.8011656279370547
(raster,1741) -> 1.681885314257139
(display,1741) -> 2.852479993636856
(multiconsole,1741) -> 1.438211563426525
(computer,1741) -> 1.2736443161060615
(system,1741) -> 1.2003854976431003
(designed,1741) -> 1.1939312497466095
(provides,1741) -> 1.1976766526687899
(rich,1741) -> 1.438211563426525
(displays,1741) -> 1.3325743084247428
(low,1741) -> 1.2452030578827404
(unit,1741) -> 1.2704087283237493
(cost,1741) -> 1.1989848318785605
(console,1741) -> 1.303313907670572
(plot,1741) -> 1.3629540645105296
(tens,1741) -> 1.438211563426525
(thousands,1741) -> 1.4005828139685272
(points,1741) -> 1.2177830642311578
(4000,1741) -> 1.3629540645105296
(characters,1741) -> 1.2421863479181505
(30,1741) -> 1.2989686443881703
(frames,1741) -> 1.3629540645105296
(per,1741) -> 1.2421863479181505
(second,1741) -> 1.2045575984601529
(initial,1741) -> 1.2407386138494236
(investment,1741) -> 1.4005828139685272
(50,1741) -> 1.325325315052532
(000,1741) -> 1.5626050005772236
(teletype,1741) -> 1.3508403128845226
(costs,1741) -> 1.2592910929066516
(less,1741) -> 1.2237111454721752
(3,1741) -> 1.2038289055025624
(technique,1741) -> 1.3067347266148428
(employed,1741) -> 1.2554118136891554
(programmatically,1741) -> 1.438211563426525
(generating,1741) -> 1.2206662272397446
(binary,1741) -> 1.2068042698366406
(image,1741) -> 1.8848366769002358
(desired,1741) -> 1.2634690623425202
(written,1741) -> 1.2024002227799648
(rotating,1741) -> 1.3409426571285694
(drum,1741) -> 1.2783673633074213
(memory,1741) -> 1.1707266776263705
(independent,1741) -> 1.2177830642311578
(read,1741) -> 1.2634690623425202
(heads,1741) -> 1.438211563426525
(continuously,1741) -> 1.325325315052532
(picture,1741) -> 1.2783673633074213
(generated,1741) -> 1.2291993311845604
(swept,1741) -> 1.438211563426525
(horizontal,1741) -> 1.3409426571285694
(lines,1741) -> 1.251791351697241
(standard,1741) -> 1.178313907670572
(tv,1741) -> 1.4005828139685272
(monitor,1741) -> 1.2783673633074213
(serves,1741) -> 1.313211563426525
(device,1741) -> 1.2500678161365368
(two,1741) -> 1.13212327343839
(drawbacks,1741) -> 1.378571406586567
(must,1741) -> 1.1957716568491976
(compute,1741) -> 1.2704087283237493
(displayed,1741) -> 1.2876965655945343
(also,1741) -> 1.1425255653151625
(pointing,1741) -> 1.7259081290210594
(interaction,1741) -> 1.2704087283237493
(difficult,1741) -> 1.2483973209417891
(function,1741) -> 1.1522363471852468
(gives,1741) -> 1.2634690623425202
(coordinates,1741) -> 2.0228279713857087
(point,1741) -> 1.5662714923054937
(screen,1741) -> 1.7016806257690453
(inverse,1741) -> 1.5185821858133033
(map,1741) -> 1.5626050005772236
(generation,1741) -> 1.4151486168494858
(process,1741) -> 1.352195623601036
(required,1741) -> 1.354833169184363
(calculate,1741) -> 1.7016806257690453
(selected,1741) -> 1.2755828139685272
(input,1741) -> 1.1739686443881705
(space,1741) -> 1.1927380850083307
(design,1742) -> 2.02430658054907
(display,1742) -> 2.852479993636856
(processors,1742) -> 1.394842718073989
(flexibility,1742) -> 1.4409325023496438
(power,1742) -> 1.3785817301384928
(needed,1742) -> 1.3724479661852025
(data,1742) -> 1.1882052886320222
(channel,1742) -> 2.7421795096505424
(computer,1742) -> 1.4378309057696985
(considered,1742) -> 1.2944537503850502
(work,1742) -> 1.3238403564479437
(efficiently,1742) -> 1.4215504997480326
(must,1742) -> 1.3132346509587163
(sufficient,1742) -> 1.394842718073989
(number,1742) -> 1.2028661627155854
(instructions,1742) -> 1.3898780013289826
(best,1742) -> 1.3596244662628527
(understood,1742) -> 1.5455082514057112
(small,1742) -> 1.3122419670524064
(processor,1742) -> 2.0591978907507738
(rather,1742) -> 1.3515008960812
(powerful,1742) -> 1.4028661627155854
(found,1742) -> 1.3399025066856627
(successive,1742) -> 1.460314504951255
(improvements,1742) -> 1.8818650046992875
(lie,1742) -> 1.5613445006152364
(circular,1742) -> 1.510289999594575
(path,1742) -> 1.4086589019026488
(making,1742) -> 1.4148657486506426
(one,1742) -> 1.4102742257820198
(return,1742) -> 1.5807265032168476
(original,1742) -> 1.394842718073989
(simple,1742) -> 1.2614070840915554
(plus,1742) -> 1.4366946425356562
(new,1742) -> 1.2342477512522538
(general,1742) -> 1.2295515320823494
(purpose,1742) -> 1.2952617459453981
(trip,1742) -> 1.5613445006152364
(around,1742) -> 1.5205205040840513
(degree,1742) -> 1.3785817301384928
(physical,1742) -> 1.4250962531401188
(separation,1742) -> 1.5321188934795886
(parent,1742) -> 1.70113850148244
(key,1742) -> 1.3630992854767374
(factor,1742) -> 1.4181438318882764
(reliable,1743) -> 2.7472009362673893
(full,1743) -> 1.4935533975924862
(duplex,1743) -> 3.9036325160842376
(file,1743) -> 1.380855318593158
(transmission,1743) -> 2.081634913294997
(half,1743) -> 2.0292672380349903
(telephone,1743) -> 1.616074955563494
(lines,1743) -> 1.503582703394482
(field,1743) -> 1.4607336689326564
(proven,1743) -> 1.6651486168494858
(scheme,1743) -> 2.2186591863485567
(achieving,1743) -> 1.62642312685305
(communication,1743) -> 1.470610804253575
(line,1743) -> 1.4062197287828522
(presented,1743) -> 1.4623837658682903
(demonstrate,1743) -> 1.5688108965084815
(difficulty,1743) -> 1.5753931311890688
(problem,1743) -> 1.2600774139909454
(another,1743) -> 1.441332454479489
(similar,1743) -> 1.4265879894896547
(slightly,1743) -> 1.62642312685305
(unreliable,1743) -> 1.7016806257690453
(also,1743) -> 1.2850511306303252
(flowchart,1743) -> 1.606627815341144
(interesting,1743) -> 1.5626050005772236
(examples,1743) -> 1.366074955563494
(given,1743) -> 1.2376495147084703
(stable,1744) -> 2.5944994367369087
(numerical,1744) -> 1.4976184275690092
(methods,1744) -> 1.416806667436298
(obtaining,1744) -> 1.7278244042260935
(chebyshev,1744) -> 2.4293097809297377
(solution,1744) -> 1.8570562795814298
(overdetermined,1744) -> 2.8711483353841207
(system,1744) -> 1.5343613270482672
(equations,1744) -> 2.4803866421474297
(implementation,1744) -> 1.8902871946781616
(stiefel,1744) -> 3.3371283382748
(exchange,1744) -> 2.8711483353841207
(algorithm,1744) -> 1.2857921204125664
(determining,1744) -> 1.6345441720280791
(linear,1744) -> 1.466160845921444
(presented,1744) -> 1.3082558439121934
(uses,1744) -> 1.547456549097248
(gaussian,1744) -> 1.767190841585425
(lu,1744) -> 1.9091804190095187
(decomposition,1744) -> 1.7501400007696313
(row,1744) -> 1.776533749452173
(interchanges,1744) -> 2.068220837249406
(computationally,1744) -> 1.7584145286779753
(usually,1744) -> 1.6580711967899817
(given,1744) -> 1.3168660196112936
(literature,1744) -> 1.7084937552335313
(generalization,1744) -> 1.7025841662467207
(developed,1744) -> 1.4338575082520917
(permits,1744) -> 1.5993741104380879
(occasional,1744) -> 2.1685641691374
(two,1744) -> 1.35232872916904
(simultaneously,1744) -> 1.7146548904648689
(position,1745) -> 1.460314504951255
(paper,1745) -> 1.1734406500915124
(computing,1745) -> 1.5938012833369049
(communications,1745) -> 2.3502520013853365
(effective,1745) -> 1.37648864340286
(operation,1745) -> 1.330886831738625
(free,1745) -> 1.3399025066856627
(enterprise,1745) -> 1.70113850148244
(creating,1745) -> 1.510289999594575
(envisioned,1745) -> 1.640932502349644
(information,1745) -> 2.1402045225213007
(service,1745) -> 1.4181438318882764
(industry,1745) -> 2.02057999918915
(dependent,1745) -> 1.4453877812918743
(upon,1745) -> 1.3579378327554803
(three,1745) -> 1.2912948969484037
(accomplishments,1745) -> 1.70113850148244
(1,1745) -> 1.2670861584034485
(restructuring,1745) -> 1.5321188934795886
(processing,1745) -> 1.2396392938997973
(clear,1745) -> 1.50113850148244
(division,1745) -> 1.394842718073989
(costs,1745) -> 1.4148657486506426
(made,1745) -> 1.5566996620421454
(among,1745) -> 1.3667189298952964
(development,1745) -> 1.6167618720266579
(services,1745) -> 2.50341550444732
(2,1745) -> 1.2831574791945604
(wide,1745) -> 1.4148657486506426
(use,1745) -> 1.3846497852247697
(multiaccess,1745) -> 1.5321188934795886
(system,1745) -> 1.1603083981144802
(concepts,1745) -> 1.3596244662628527
(may,1745) -> 1.2418054634301339
(share,1745) -> 1.4719128943467923
(computer,1745) -> 1.1459436352565662
(installations,1745) -> 1.5455082514057112
(cost,1745) -> 1.3183757310056967
(construction,1745) -> 1.3515008960812
(reasonable,1745) -> 1.510289999594575
(3,1745) -> 1.3261262488041
(public,1745) -> 1.4853022522729151
(message,1745) -> 1.4719128943467923
(switched,1745) -> 1.70113850148244
(adequate,1745) -> 1.510289999594575
(provisions,1745) -> 1.6057142505385076
(security,1745) -> 1.460314504951255
(protection,1746) -> 1.7025841662467207
(information,1746) -> 2.1402045225213007
(processing,1746) -> 1.798797646332658
(utility,1746) -> 2.4293097809297377
(one,1746) -> 1.6837903763033661
(critical,1746) -> 1.7423129688197903
(problems,1746) -> 1.3857958814546798
(design,1746) -> 1.4267944085621123
(permits,1746) -> 1.5993741104380879
(flexible,1746) -> 1.7084937552335313
(sharing,1746) -> 1.5665041778094375
(user,1746) -> 1.482929218691909
(privacy,1746) -> 1.9355741676920604
(solution,1746) -> 1.428528139790715
(problem,1746) -> 1.3467698853212606
(discussed,1746) -> 1.3538825704980413
(three,1747) -> 1.4854914949140061
(criteria,1747) -> 2.9871785675343125
(designing,1747) -> 1.3986248591842272
(computing,1747) -> 1.494834402780754
(systems,1747) -> 1.3344217958092557
(facilitate,1747) -> 1.3711564844098951
(debugging,1747) -> 1.3457214572088687
(designer,1747) -> 1.4337670867367094
(system,1747) -> 1.2671806635241336
(adopt,1747) -> 1.534110418624703
(explicit,1747) -> 1.3512920831233604
(accepting,1747) -> 1.4434324112329904
(rejecting,1747) -> 1.5842820845687
(proposed,1747) -> 1.2255673605048574
(features,1747) -> 1.2644357358393543
(possible,1747) -> 1.2365554461229087
(kind,1747) -> 1.3457214572088687
(input,1747) -> 1.4639163850351211
(recordability,1747) -> 1.5842820845687
(specifiability,1747) -> 1.5842820845687
(asynchronous,1747) -> 1.4434324112329904
(reproducibility,1747) -> 1.5842820845687
(output,1747) -> 1.5124031862860883
(imply,1747) -> 1.534110418624703
(user,1747) -> 1.2414646093459545
(desires,1747) -> 1.5842820845687
(either,1747) -> 1.3011204171793636
(know,1747) -> 1.4176154179020333
(control,1747) -> 1.2308530960343917
(influences,1747) -> 1.5047618754487562
(affecting,1747) -> 1.5047618754487562
(content,1747) -> 1.3711564844098951
(extent,1747) -> 1.3835954207927124
(computer,1747) -> 1.243239392094277
(define,1747) -> 1.3573274452324344
(scope,1747) -> 1.3932607452889936
(notion,1747) -> 1.8088370871215251
(abstract,1747) -> 1.3674437519580365
(machine,1747) -> 1.2216002080594197
(programming,1747) -> 1.1623689317283241
(language,1747) -> 1.1707083131516491
(virtual,1747) -> 1.3380952087820894
(explained,1747) -> 1.3639122021130468
(examples,1747) -> 1.2440499703756625
(applications,1747) -> 1.245378125320875
(concern,1747) -> 1.46778708384603
(reading,1747) -> 1.4434324112329904
(time,1747) -> 1.1537489555739295
(day,1747) -> 1.4337670867367094
(clock,1747) -> 1.4839387526807062
(synchronization,1747) -> 1.4176154179020333
(parallel,1747) -> 1.285550136318991
(processes,1747) -> 1.273728274548624
(protection,1747) -> 1.3512920831233604
(multiprogrammed,1747) -> 1.3882668747260865
(assignment,1747) -> 1.3430890793449968
(capability,1747) -> 1.3573274452324344
(indexes,1747) -> 1.4545902095047594
(scheduling,1748) -> 2.8067225030761813
(philosophy,1748) -> 1.5753931311890688
(multiprocessing,1748) -> 2.4033612515380907
(systems,1748) -> 1.7524490405708257
(collection,1748) -> 1.4814772276988475
